Datum,Titel,Beschreibung,Ort
12.10.2020-16.10.2020,Orientierungswoche 2020,"Übersicht: https://www.uni-bremen.de/uni-start-portal/orientierungswoche

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
23.12.2020-05.01.2021,Veranstaltungsfrei,"Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
08.02.2021-09.04.2021,Veranstaltungsfrei,"WiSe 20/21 endet am 05.02., SoSe 21 beginnt am 12.04.

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
19.07.2021-15.10.2021,Veranstaltungsfrei,"SoSe 21 endet am 16.07., WiSe 21/22 beginnt am 18.10.

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
11.10.2021-15.10.2021,Orientierungswoche 2021,"Übersicht: https://www.uni-bremen.de/uni-start-portal/orientierungswoche

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
23.12.2021-05.01.2022,Veranstaltungsfrei,"Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
07.02.2022-14.04.2022,Veranstaltungsfrei,"WiSe 21/22 endet am 04.02., SoSe 22 beginnt am 19.04.

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
25.07.2022-14.10.2022,Veranstaltungsfrei,"SoSe 22 endet am 22.07., WiSe 22/23 beginnt am 17.10.

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
10.10.2022-14.10.2022,Orientierungswoche 2022,"Übersicht: https://www.uni-bremen.de/uni-start-portal/orientierungswoche

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
23.12.2022-06.01.2023,Veranstaltungsfrei,"Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
06.02.2023-06.04.2023,Veranstaltungsfrei,"WiSe 22/23 endet am 03.02., SoSe 23 beginnt am 11.04.

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
17.07.2023-13.10.2023,Veranstaltungsfrei,"SoSe 23 endet am 14.07., WiSe 23/24 beginnt am 16.10.

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
09.10.2023-13.10.2023,Orientierungswoche 2023,"Übersicht: https://www.uni-bremen.de/uni-start-portal/orientierungswoche

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
23.12.2023-05.01.2024,Veranstaltungsfrei,"Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
05.02.2024-28.03.2024,Veranstaltungsfrei,"WiSe 23/24 endet am 02.02., SoSe 24 beginnt am 02.04.

Datenquelle: https://github.com/dennisschuerholz/semesterferien
ics-Datei generiert mit https://csv2ics.kozianka.de/

Aktuelle Semesterzeiten immer unter https://www.uni-bremen.de/studium/starten-studieren/semesterzeiten",
